# Vib_X	Vib_Y	Vib_Z	Sound
-0.305435	0.752728	-0.080057	-1.378642
-0.243673	0.497431	-0.256372	-1.401684
0.092582	0.359368	0.273537	-1.544291
0.248129	0.308189	0.476829	-1.601895
0.245841	0.255226	-0.105107	-1.608122
0.250988	0.179648	0.071208	-1.550830
0.102304	0.141562	0.148286	-1.536818
0.172643	0.447442	0.648327	-1.487310
-0.221943	0.331993	0.049048	-1.392343
-0.579929	0.476602	-0.865285	-1.197425
-0.629109	0.848539	-0.629235	-1.046411
-0.507302	1.152039	-0.033810	-0.867373
-0.732044	1.035399	-0.926947	-0.729436
-0.969368	0.543253	-1.966531	-0.497154
-0.757206	0.537302	-1.815266	-0.209760
-0.592510	0.660488	-0.225541	-0.015153
-0.303719	0.465890	0.151176	0.182878
-0.527317	-0.323210	-0.795915	0.313031
-0.407798	-0.546371	-0.520362	0.379041
-0.156178	-0.220258	0.604970	0.325174
-0.269979	0.017187	1.033715	0.311474
-0.534752	0.034444	0.410350	0.275043
-1.036847	-0.271436	-0.732326	0.175405
-0.721751	0.270698	0.228254	0.055216
-0.802955	0.545634	0.290879	0.067982
-1.096321	0.583720	-0.441358	0.105970
-0.988239	0.668224	-0.302618	0.124963
-1.095749	0.408166	-0.712093	0.046187
-0.922475	0.467081	0.491281	0.027193
-0.779509	0.486124	0.343870	0.094137
-0.663993	0.392098	0.111674	0.199381
-0.617100	0.037420	0.204167	0.212147
-0.480997	-0.105404	0.691683	0.151741
-0.342034	-0.209546	0.985541	0.130256
-0.397505	-0.459487	0.550053	0.056462
-0.403223	-0.589218	0.240779	-0.042554
-0.301432	-0.482696	1.050094	-0.226574
-0.159038	-0.153012	1.439335	-0.389109
-0.352327	-0.117901	0.753345	-0.494040
-0.623390	-0.378554	-0.323815	-0.475981
-0.525030	-0.136944	-0.751595	-0.490615
-0.362049	0.309380	-0.062714	-0.406545
-0.446685	0.400430	-0.514582	-0.282620
-0.444397	0.291527	-0.687043	-0.213185
-0.379205	-0.034587	-0.853723	-0.266740
-0.481568	-0.317259	-0.084874	-0.288225
-0.466700	-0.451751	0.303404	-0.296320
-0.412945	-0.396407	0.492244	-0.243699
-0.588507	-0.579102	0.244633	-0.168659
-0.521599	-0.532684	0.864144	-0.282932
-0.421523	-0.355345	1.038532	-0.381947
-0.647981	-0.211926	0.350614	-0.463837
-0.804099	0.033254	-0.101253	-0.507741
-0.630253	0.364129	-0.131121	-0.600840
-0.714317	0.600383	0.365066	-0.715424
-1.114049	0.373055	-0.200490	-0.861768
-1.235856	0.159415	-0.826746	-0.932449
-1.082596	0.462915	-0.373915	-1.053572
-1.015688	0.642635	1.050094	-1.157881
-1.161513	0.255226	1.156075	-1.264992
-0.868720	0.129065	1.305413	-1.378954
-0.768644	-0.307142	0.898829	-1.557057
-0.721751	-0.344633	1.415249	-1.793076
-0.600516	-0.105999	1.756317	-1.947515
-0.871579	-0.298811	1.263984	-2.046220
-0.833836	-0.255368	0.326528	-2.141187
-0.663993	0.093359	0.424802	-2.228994
-0.728041	0.634898	0.901719	-2.225257
-1.248437	0.481958	0.015327	-2.214048
-1.541230	0.319496	-0.993426	-2.161115
-1.224990	0.782483	-0.348865	-2.075177
-0.976230	0.958632	0.765870	-1.912019
-1.277030	0.339730	-0.153280	-1.802417
-1.767688	-0.545181	-0.797842	-1.597847
-1.278173	-0.387480	-0.063678	-1.451814
-0.725754	-0.083980	1.385381	-1.353110
-0.828689	-0.504714	1.263984	-1.248490
-0.875582	-0.962345	0.859327	-1.177809
-0.937343	-1.123616	-0.067532	-1.258765
-0.686867	-0.460677	0.967235	-1.338164
-0.589651	0.038015	1.259167	-1.255651
-1.091174	-0.328565	-0.158098	-1.178743
-1.216984	-0.508285	-1.256454	-1.076302
-1.058006	0.236183	-0.781463	-1.025237
-0.881301	1.068130	0.489354	-0.901624
-1.129489	0.478983	-0.369098	-0.830631
-1.533224	-0.420806	-1.766129	-0.806967
-0.896741	0.146323	-0.629235	-0.890414
-0.362049	0.576579	1.389235	-0.988184
-0.596513	-0.367842	0.475865	-1.067895
-1.184388	-1.830593	-0.833490	-1.122696
-0.774934	-1.666941	-0.309363	-1.244753
-0.049812	-0.714784	1.701399	-1.298620
-0.395789	-0.923068	1.324682	-1.287100
-0.817252	-1.322379	0.208984	-1.293950
-0.881872	-1.033757	-0.520362	-1.335985
-0.215080	0.446847	1.041422	-1.406977
-0.301432	0.974699	1.038532	-1.381133
-1.044281	0.229041	-0.801696	-1.404175
-1.250152	-0.094097	-2.271951	-1.375840
-0.682864	0.775341	-1.177449	-1.354978
-0.184772	1.216309	0.441181	-1.284297
-0.860142	-0.156582	-0.831563	-1.264681
-1.241574	-1.325355	-1.475161	-1.296752
-0.627965	-1.064107	-0.771828	-1.443719
0.026246	-0.340467	1.452824	-1.598158
-0.384924	-0.639207	1.372856	-1.650157
-1.093462	-1.742518	0.042304	-1.598781
-0.628537	-1.558633	-0.657175	-1.529968
0.071995	0.033849	1.036605	-1.421923
-0.466128	0.018972	0.806336	-1.299866
-1.201544	-0.848681	-0.853723	-1.240705
-1.059150	-0.623139	-1.894271	-1.235101
-0.696017	0.421853	-0.236139	-1.269663
-0.707454	0.808072	0.555833	-1.189641
-1.223846	-0.250608	-0.630198	-1.169713
-1.238143	-0.768343	-1.330641	-1.170647
-0.539327	-0.126232	-0.992463	-1.211125
-0.320303	0.101690	0.673377	-1.232921
-0.680005	-0.819521	-0.236139	-1.372415
-0.871579	-1.834759	-1.101335	-1.658875
-0.187059	-1.428307	-0.779536	-1.969311
0.351636	-0.480315	0.920025	-2.064590
-0.046953	-0.716569	0.930623	-2.076111
-0.573066	-1.612192	-0.197600	-2.149906
-0.498152	-1.413429	-1.518517	-2.254837
-0.048096	0.004094	-0.191819	-2.316489
-0.192778	0.418878	0.464304	-2.194120
-0.602803	-0.478530	-0.924056	-2.124062
-0.547904	-0.937946	-2.118759	-2.124062
0.010806	-0.175030	-1.029075	-2.131535
0.118888	0.099310	0.163701	-2.075800
-0.277985	-0.937351	-0.535778	-2.039058
-0.221371	-1.739543	-1.494431	-1.993287
0.213245	-1.108739	-0.791098	-1.965575
0.327046	-0.357130	1.465349	-1.849745
-0.056102	-1.031376	0.651217	-1.714922
-0.308866	-2.045423	-0.675481	-1.670085
-0.069827	-1.620523	-0.807477	-1.649846
0.108594	-0.382719	1.055874	-1.529968
-0.216224	-0.573151	0.948929	-1.302357
-0.499868	-1.393196	-0.281422	-1.096853
-0.263689	-1.244421	-1.517554	-1.002819
-0.059534	-0.304166	-0.258299	-0.891348
-0.181912	0.014806	0.423838	-0.794201
-0.391786	-0.802859	-0.544449	-0.818488
-0.460981	-1.388435	-1.773837	-0.876091
0.122891	-0.566605	-0.708239	-0.943659
0.277294	-0.192288	0.934477	-0.921863
-0.164756	-1.281913	-0.100290	-0.908785
-0.183056	-2.030546	-0.915385	-0.872043
0.144621	-1.639567	-0.860467	-0.912210
0.512329	-0.685624	1.076107	-0.878271
0.077714	-1.220617	0.412276	-0.811326
-0.416376	-2.293579	-1.046417	-0.754034
-0.092130	-1.699076	-1.833572	-0.724765
-0.023506	-0.759416	-0.525180	-0.736909
-0.101280	-0.620759	-0.181221	-0.811949
-0.249392	-1.412239	-1.162997	-0.986316
-0.188203	-1.631235	-2.701658	-1.162240
0.143478	-0.964130	-2.160188	-1.298932
0.144621	-0.960560	-1.140837	-1.353421
0.519192	-1.184912	-0.904787	-1.380822
0.591246	-1.603861	-1.784435	-1.434689
0.556935	-1.282508	-1.522371	-1.555189
0.550072	-0.996265	0.169482	-1.552387
0.378513	-1.628260	0.023998	-1.545537
0.424834	-2.151351	-0.902860	-1.502256
0.179505	-2.006147	-2.176567	-1.538687
-0.047524	-1.406883	-0.452920	-1.571069
-0.049240	-1.519357	-0.459664	-1.604385
0.095441	-1.793697	-0.866248	-1.673198
