# Vib_X	Vib_Y	Vib_Z	Sound
1.118819	0.286670	2.151883	-0.526503
1.178059	0.260361	-0.640245	-0.531250
1.342210	0.315016	-1.909395	-0.446846
1.458870	0.338159	0.710009	-0.168049
1.359503	0.260059	2.046746	0.084635
1.131975	0.281469	-0.429972	0.204647
1.128169	0.347733	-2.815071	0.362377
1.184761	0.492475	-0.568152	0.578399
1.061400	0.584824	2.429744	0.630360
0.813684	0.468578	0.776095	0.522745
0.767765	0.350598	-2.260851	0.695245
0.866305	0.355875	-1.128380	1.009123
0.851247	0.335747	2.015205	1.131245
0.718370	0.199674	1.136563	1.126233
0.699754	0.052369	-1.805760	1.135993
0.735166	-0.040733	-1.446793	1.071635
0.662274	-0.076315	1.160595	1.074536
0.457251	-0.263952	1.877025	1.050797
0.247098	-0.416836	-0.876052	0.890693
0.179005	-0.363387	-2.355474	0.874340
0.118772	-0.264404	0.411121	0.966921
-0.049185	-0.276843	2.189431	1.002001
-0.282422	-0.324261	-0.075512	1.038137
-0.379142	-0.336625	-2.284883	1.146807
-0.358457	-0.155546	-0.351871	1.121222
-0.390642	-0.052041	2.486818	0.919180
-0.473379	-0.191657	1.014905	0.794684
-0.416622	-0.272471	-2.109154	0.904937
-0.263226	-0.272622	-1.229010	0.901244
-0.238488	-0.299158	2.121844	0.618227
-0.453771	-0.363462	1.614184	0.401150
-0.513176	-0.341977	-1.652561	0.287996
-0.347453	-0.263801	-2.133185	0.059578
-0.319157	-0.154189	1.120042	-0.097097
-0.526249	-0.173941	2.413222	-0.156444
-0.696274	-0.271340	-0.841507	-0.294392
-0.712904	-0.163764	-2.335949	-0.479025
-0.723412	0.100843	-0.027449	-0.476124
-0.699832	0.165449	2.287058	-0.426800
-0.735326	0.082750	0.379580	-0.392511
-0.653416	-0.010804	-2.232314	-0.266960
-0.446242	-0.125166	-0.054484	-0.307316
-0.437058	-0.222640	2.668554	-0.263268
-0.573409	-0.294785	1.277747	-0.078370
-0.397592	-0.419776	-1.913900	0.016584
-0.076323	-0.405679	-1.235018	0.073293
