# Vib_X	Vib_Y	Vib_Z	Sound
0.729058	-0.059764	-0.182787	-1.432760
0.517206	-0.036569	-0.780460	-1.265606
0.214157	0.195581	-0.500815	-1.081702
0.015154	0.476320	0.009126	-0.917966
-0.144988	0.573299	1.050940	-0.723465
-0.365615	0.574698	0.812419	-0.508113
-0.749519	0.526509	-0.613221	-0.293444
-0.999605	0.594294	-0.838034	-0.095183
-1.055389	0.653081	-0.350026	0.077440
-1.089862	0.681875	0.305220	0.161188
-1.129662	0.736463	0.255871	0.243911
-1.115560	0.913824	0.867252	0.316037
-1.078266	1.016202	-0.155371	0.362526
-0.833508	1.293142	0.458751	0.264079
-0.543935	1.605074	1.972123	0.092481
-0.476242	1.769038	0.779520	-0.048353
-0.480003	1.706852	-1.199927	-0.196707
-0.314533	1.696054	-1.032688	-0.345402
0.019542	1.859019	0.834352	-0.457180
0.037092	1.784235	1.056423	-0.454104
0.074385	1.627469	0.000901	-0.388131
0.105724	1.440110	-1.188961	-0.318398
0.430084	1.492298	0.905634	-0.268832
0.490568	1.390921	1.763760	-0.202859
0.328545	1.313337	0.996108	-0.072964
0.194100	1.327534	-0.369217	0.101027
0.156494	1.452907	-0.410342	0.168025
0.199428	1.645465	1.467666	0.217248
-0.208607	1.645865	0.233938	0.201524
-0.333023	1.885413	1.549914	0.152985
-0.625730	1.975593	1.741827	0.064451
-1.123708	1.782435	-0.418566	-0.058608
-1.334620	1.730446	-0.064898	-0.153978
-1.166016	1.788234	2.320308	-0.155003
-1.323964	1.544087	1.626679	-0.123897
-1.503537	1.266747	0.327153	-0.168335
-1.406073	1.129777	1.163346	-0.148509
-1.372227	0.897628	-0.410342	-0.128341
-1.148152	0.820645	0.406660	-0.168335
-1.033451	0.721066	0.669855	-0.195339
-0.996158	0.604092	-0.465174	-0.186452
-0.937240	0.593494	-0.396634	-0.266098
-0.747639	0.617089	0.146207	-0.349846
-0.592197	0.657280	0.480684	-0.543663
-0.593137	0.601692	1.275752	-0.695777
-0.470915	0.574698	0.946759	-0.748077
-0.180402	0.541106	0.362794	-0.741240
0.064983	0.569499	1.750052	-0.671507
0.034898	0.426331	0.954983	-0.627069
0.106978	0.317554	0.883701	-0.590494
0.287804	0.169187	0.181848	-0.596988
0.378374	0.007222	-0.158113	-0.666380
0.481166	0.129595	0.782261	-0.755597
0.264300	0.257367	0.741137	-0.815759
0.167462	0.424931	0.768553	-0.816784
0.038972	0.526909	0.143465	-0.819519
-0.226470	0.680475	-0.034740	-0.913864
-0.622283	0.884431	-0.267778	-0.877630
-0.871428	1.159571	0.072183	-0.844814
-0.851371	1.365526	0.867252	-0.788071
-0.953850	1.453107	0.233938	-0.713210
-0.997725	1.521892	-0.100539	-0.609636
-0.971086	1.649664	0.025575	-0.507087
-0.782112	1.665061	-0.237620	-0.346428
-0.678379	1.631668	0.266838	-0.165600
-0.722568	1.587678	-0.788685	-0.076383
-0.792454	1.593876	-0.783201	0.027191
-0.823793	1.589677	-0.503557	0.098292
-0.758294	1.504296	-1.230085	0.142388
-0.611000	1.590877	-0.040223	0.207677
-0.757041	1.610273	-0.015549	0.260661
-0.819092	1.769438	0.456009	0.253482
-0.628550	1.898810	1.242853	0.336205
-0.519490	1.792233	0.554707	0.386454
-0.577781	1.652264	0.324412	0.432943
-0.583109	1.693655	0.502617	0.428157
-0.619462	1.637467	0.609540	0.420295
-0.640773	1.534689	0.634214	0.364919
-0.661456	1.455306	0.061216	0.305098
-0.882397	1.245152	-0.218428	0.205968
-0.855759	1.166169	0.902893	0.049752
-1.004306	1.050795	1.111255	-0.156371
-1.330859	0.824244	-0.229395	-0.351213
-1.530802	0.746661	-0.563872	-0.422314
-1.561828	0.687474	-0.347284	-0.530332
-1.572483	0.697871	0.817903	-0.628437
-1.816928	0.628487	0.398435	-0.684497
-2.053225	0.493116	-0.536456	-0.561438
-2.025646	0.474320	0.264096	-0.424365
-2.074849	0.294959	0.061216	-0.343351
-2.037868	0.266765	0.732912	-0.358734
-2.014678	0.130795	0.642439	-0.391549
-1.880860	0.027617	0.277804	-0.428808
-1.711315	-0.125349	0.105082	-0.503669
-1.602569	-0.184736	0.201039	-0.678002
-1.433965	-0.126149	0.461492	-0.804479
-1.434591	-0.254921	-0.010066	-0.815075
-1.084847	-0.279916	0.247646	-0.756964
-0.937240	-0.275717	-0.251328	-0.680053
-0.828180	-0.154543	0.645181	-0.629462
-0.651428	-0.158542	1.325101	-0.588443
-0.696243	-0.255321	-0.679020	-0.624335
-0.546442	-0.108553	-0.478882	-0.609636
-0.485017	0.020419	0.335378	-0.652707
-0.408550	0.090204	0.990624	-0.734745
-0.348066	0.216976	0.170881	-0.900874
-0.679006	0.206179	-3.009394	-1.031111
-0.508835	0.449925	-1.098487	-1.138104
-0.274105	0.602692	1.015299	-1.186985
-0.387866	0.531908	-0.136180	-1.142206
-0.584989	0.409134	-2.085469	-1.046494
-0.721001	0.458524	-2.414463	-1.011285
-0.620716	0.665279	-0.158113	-0.975051
-0.731029	0.690673	-0.281486	-0.905660
-0.837582	0.735263	-0.898349	-0.810632
-0.983622	0.848239	-1.265726	-0.711843
-0.937867	1.059393	-0.265036	-0.658176
-1.089235	1.179766	0.944017	-0.545714
-1.347782	1.208560	-0.289710	-0.442482
-1.400118	1.133577	-0.947698	-0.318740
-1.302341	1.165570	-0.314385	-0.297204
-1.257212	1.243153	1.629421	-0.296179
-1.432711	1.092985	0.379244	-0.289684
-1.355617	0.901027	-0.829809	-0.166626
-1.322084	0.686074	0.187331	-0.167651
-1.472825	0.427130	-0.511781	-0.166967
-1.374420	0.368343	0.316187	-0.129366
-1.305788	0.138793	-0.807876	-0.171753
-1.280717	-0.097155	-1.413773	-0.176880
-1.173850	-0.213530	-0.018290	-0.178590
-1.139691	-0.228327	0.231197	-0.058266
-1.058522	-0.197733	0.209264	0.066160
-1.014648	-0.330904	-0.522748	0.132475
-0.926898	-0.270118	0.277804	0.208361
-1.029377	-0.244523	0.683563	0.275701
-1.216471	-0.347101	-0.673537	0.215881
-1.398551	-0.623241	-1.866140	0.175203
-1.281343	-0.771209	-1.109454	0.095215
-1.347155	-0.916177	-0.303419	0.067185
-1.487241	-1.090939	-0.454207	0.010442
-1.457155	-1.220911	-0.273261	-0.083561
-1.588153	-1.359481	0.014609	-0.172437
-1.488808	-1.350882	0.697271	-0.257894
-1.574677	-1.384275	-0.130697	-0.305066
-1.648637	-1.317490	-0.180046	-0.249006
-1.651771	-1.178720	0.277804	-0.118428
-1.679976	-1.024553	-0.308902	-0.040833
-1.572797	-0.762411	0.258613	0.057272
-1.607583	-0.654634	-0.435016	0.152985
-1.538010	-0.568453	-0.086831	0.197080
-1.374420	-0.450478	0.063958	0.153326
-1.384135	-0.424684	-1.062846	0.174520
-1.226813	-0.400089	-0.276002	0.229554
-1.193907	-0.514265	-0.629671	0.327317
-0.968579	-0.436481	0.198297	0.327659
-0.784306	-0.466675	0.184589	0.300997
-0.589690	-0.409687	0.461492	0.319455
-0.491285	-0.340902	0.560191	0.356373
-0.579975	-0.289713	-0.766752	0.374832
-0.221769	0.043614	1.788435	0.423371
-0.206100	0.174985	1.654096	0.540277
-0.263763	0.287961	0.982400	0.603857
-0.369063	0.328352	1.138672	0.537200
-0.270031	0.449526	1.517015	0.381326
-0.192310	0.411934	1.741827	0.284247
-0.357154	0.223375	0.434076	0.279803
-0.432681	0.176185	1.018041	0.259293
-0.656442	0.040615	0.919342	0.159479
-0.727268	-0.112952	0.891926	0.180673
-0.773650	-0.265319	1.196246	0.240835
-0.882083	-0.282715	1.615713	0.259293
-1.026557	-0.247723	1.305910	0.178622
-1.069491	-0.295512	0.258613	0.151275
-0.970460	-0.278916	-0.193754	0.167000
-0.830374	-0.115951	1.146896	0.220325
-0.737924	-0.003376	1.928257	0.251089
-0.768323	-0.124949	1.270269	0.289032
-0.762682	-0.230326	0.392952	0.365944
-0.689348	-0.253121	0.425851	0.455845
-0.539861	-0.280515	2.416265	0.542328
-0.567439	-0.623641	0.494392	0.590868
-0.427980	-0.878985	0.376502	0.736487
-0.354020	-1.000959	0.313445	0.832882
-0.505701	-1.275699	-1.767442	0.855443
-0.255929	-1.337085	-0.081348	0.805194
-0.155330	-1.464458	-0.530973	0.771695
-0.074789	-1.369478	0.201039	0.722472
-0.268464	-1.395073	-0.388409	0.646586
-0.253735	-1.396073	-0.816101	0.512931
-0.045330	-1.204114	0.911117	0.465416
-0.275986	-1.114134	-0.942215	0.507803
-0.115216	-0.798003	1.549914	0.602490
-0.163792	-0.842993	1.876166	0.645902
-0.445217	-1.031552	-1.803083	0.602832
-0.437069	-1.031152	-1.718093	0.554292
-0.392254	-0.959568	0.357311	0.547113
-0.264704	-0.891182	2.128395	0.545746
-0.478750	-1.115734	-0.566614	0.460289
-0.620402	-1.175720	-1.293142	0.367653
-0.382225	-1.026153	1.231887	0.227845
-0.496926	-0.978763	0.442301	0.136235
-0.438949	-0.787205	0.436818	-0.016904
-0.189490	-0.555256	1.314135	-0.106122
-0.122738	-0.401089	0.965950	-0.064761
-0.178835	-0.291313	0.823386	0.082226
-0.136527	-0.195534	0.242163	0.173152
0.028630	-0.134947	0.609540	0.252115
0.209770	-0.097355	1.122222	0.338940
0.153986	-0.280116	0.069441	0.383719
0.106664	-0.389292	-0.221170	0.359449
0.324158	-0.339703	1.031749	0.291425
0.451394	-0.402489	1.591038	0.338598
0.439799	-0.491070	0.913859	0.424055
0.344528	-0.635238	0.275062	0.492079
0.439799	-0.542658	1.081098	0.497206
0.445440	-0.470674	2.065338	0.523185
0.361138	-0.511865	1.338810	0.438070
0.223873	-0.512665	0.702755	0.295185
0.124841	-0.503267	1.185279	0.130424
-0.024960	-0.465875	1.552656	-0.011777
-0.217382	-0.465075	1.292202	-0.091765
-0.390060	-0.630239	0.494392	-0.148509
-0.507895	-0.659233	0.461492	-0.266782
-0.622909	-0.576851	0.760329	-0.366596
-0.821912	-0.593247	0.562932	-0.405564
-0.866101	-0.560654	1.728119	-0.411033
-0.822539	-0.546058	1.782951	-0.484527
-0.770203	-0.302311	1.292202	-0.563831
-0.773650	-0.041368	1.042715	-0.564173
-0.668038	0.151191	0.425851	-0.532383
-0.260316	0.467522	1.390900	-0.434278
0.171536	0.798450	1.448474	-0.427099
0.418175	1.020801	0.806936	-0.421630
0.853788	1.069790	0.809678	-0.416503
1.181595	0.990808	0.242163	-0.384713
1.552336	0.911625	0.949500	-0.332413
1.854758	0.744061	1.747310	-0.195339
1.991083	0.388939	1.023524	-0.076041
2.142764	-0.112752	0.702755	0.032661
2.182878	-0.626040	0.362794	0.110940
2.202308	-1.043749	1.294944	0.153668
2.077579	-1.434264	1.240111	0.233314
2.027750	-1.793986	0.732912	0.339965
1.863533	-2.198098	1.475890	0.385428
1.501253	-2.541423	1.177054	0.319797
1.239259	-2.733581	1.506048	0.308859
0.903930	-2.925339	1.739086	0.270916
0.528488	-3.146091	1.678770	0.164607
0.140197	-3.259866	1.865200	0.027533
-0.338351	-3.381840	0.982400	-0.007333
-0.610687	-3.500414	0.573899	0.021380
-0.964192	-3.644583	1.116739	0.008391
-1.280717	-3.720366	1.676028	-0.066812
-1.573737	-3.564600	1.936482	-0.019297
-1.872712	-3.426030	1.015299	0.060007
-1.928809	-3.253468	0.768553	0.113674
-1.805019	-2.869951	1.160605	0.134868
-1.596301	-2.284479	1.558139	0.099659
-1.380061	-1.672012	1.736344	0.004289
-1.035645	-1.161324	1.316877	-0.035705
-0.494106	-0.646036	1.108514	-0.031261
-0.032481	-0.151544	0.505358	-0.079117
0.316950	0.270564	-0.418566	-0.066812
0.798318	0.560301	-0.319868	-0.094500
1.253361	0.672877	0.587607	-0.164233
1.680826	0.903227	0.965950	-0.360443
1.837522	1.035598	0.072183	-0.489996
2.050314	1.101583	-0.393892	-0.559729
2.302593	1.164370	-0.010066	-0.545372
2.346781	1.156172	-0.262294	-0.481108
2.226753	1.319736	0.299737	-0.398044
1.910542	1.458906	0.491650	-0.268832
1.638205	1.539288	0.842577	-0.191921
1.331396	1.564283	0.376502	-0.263363
0.932762	1.729847	0.469717	-0.382320
0.532562	1.820027	1.689736	-0.389840
0.029570	1.660462	0.214747	-0.354290
-0.313906	1.530090	-0.007324	-0.310536
-0.649548	1.357128	0.409402	-0.426757
-1.059149	1.153972	0.102341	-0.567249
-1.337127	0.763457	0.009126	-0.630146
-1.665874	0.239971	-0.572097	-0.661936
-1.729179	-0.059964	0.154431	-0.711159
-1.841373	-0.358498	1.138672	-0.752862
-1.952313	-0.816599	0.324412	-0.803453
-1.792170	-1.171521	-0.421308	-0.825330
-1.561828	-1.409670	0.381986	-0.936425
-1.377241	-1.603027	1.026265	-1.108706
-1.056642	-1.820180	0.590348	-1.217066
-0.563365	-2.065327	0.848060	-1.256718
0.012961	-2.193699	1.220920	-1.263555
0.475212	-2.304675	1.138672	-1.216383
1.087264	-2.417850	1.333326	-1.049912
1.724388	-2.641601	0.033800	-0.890961
2.215158	-2.944335	-0.149888	-0.801744
2.747295	-3.010921	1.604746	-0.788071
2.960401	-3.158689	1.349776	-0.757306
3.141541	-3.412433	-0.169079	-0.666380
3.197011	-3.598393	-0.884641	-0.568958
3.131825	-3.642783	-0.440499	-0.598697
2.904304	-3.501814	0.118790	-0.609636
2.642622	-3.401836	-0.062156	-0.552209
2.320457	-3.371042	-0.270519	-0.412401
2.023989	-3.209278	0.412143	-0.322158
1.704957	-2.825761	1.541689	-0.265414
1.399715	-2.501032	1.821334	-0.176880
1.028033	-2.469839	-0.443241	-0.051429
0.722164	-2.299676	-0.931249	0.074364
0.754443	-1.751195	2.243543	0.210754
0.539144	-1.469456	1.676028	0.424055
0.515639	-1.253104	1.818592	0.579929
0.484300	-1.032152	2.397074	0.718028
0.251451	-0.899781	0.982400	0.836984
0.185325	-0.639637	1.034490	0.893728
0.395611	-0.375895	1.421058	0.829806
0.711195	-0.129148	2.690427	0.705038
0.841879	0.034816	1.810368	0.543011
0.950312	0.249569	0.859027	0.520109
1.265270	0.423931	0.765812	0.494472
1.623789	0.512112	0.650664	0.451401
1.885784	0.549304	1.541689	0.303731
2.126468	0.708269	2.246285	0.144097
2.216411	0.712068	1.538948	0.053512
2.302593	0.592094	1.799401	-0.155345
2.397551	0.517111	1.980348	-0.474955
2.183505	0.437528	0.933050	-0.835585
2.014901	0.462523	0.916601	-1.043417
1.653875	0.171386	-0.350026	-1.149042
1.377464	-0.009574	0.316187	-1.247831
1.151509	0.041214	1.294944	-1.424556
0.557634	-0.003976	0.573899	-1.504203
0.134243	-0.160942	-0.520006	-1.558895
-0.287268	-0.321507	-0.533714	-1.568808
-0.577154	-0.387492	0.746620	-1.614955
-1.091742	-0.537659	0.401177	-1.651189
-1.422996	-0.695225	-0.100539	-1.630337
-1.443993	-0.918377	0.099599	-1.604358
-1.487868	-1.123732	1.064648	-1.701438
-1.681543	-1.330487	0.190072	-1.882949
-1.700033	-1.581432	-0.163596	-2.081894
-1.341201	-1.760393	0.453268	-2.244604
-0.978294	-1.934755	0.124274	-2.224436
-0.602852	-1.971747	0.228455	-2.180340
-0.307952	-2.086322	-0.385667	-2.025492
0.359571	-2.104318	1.100289	-1.863807
0.901423	-2.039932	0.856285	-1.651531
1.270598	-2.103718	-0.163596	-1.433102
1.634131	-2.006140	0.414885	-1.193138
1.936553	-1.985744	-0.018290	-0.995561
2.386895	-1.939954	0.790486	-0.920017
2.546725	-1.914360	0.488909	-0.957618
2.496269	-1.856772	0.376502	-0.907369
2.505671	-1.781788	0.190072	-0.776107
2.399745	-1.825179	-0.141663	-0.626727
2.265613	-1.794986	0.261354	-0.501960
2.002365	-1.576633	0.573899	-0.429150
1.722821	-1.321689	1.166088	-0.250374
1.300370	-1.249304	-0.081348	-0.121504
1.023646	-0.996959	-0.799651	-0.058949
0.713702	-0.592847	-0.728369	-0.130734
0.276836	-0.203132	-0.267778	-0.222686
0.084727	0.022818	-0.456949	-0.292761
-0.123051	0.261766	-0.119730	-0.362835
-0.281940	0.548304	0.856285	-0.504011
-0.681827	0.639884	-1.032688	-0.574769
-0.726642	0.750660	-0.972373	-0.563147
-0.570886	0.840240	0.121532	-0.510164
-0.488778	0.878632	0.000901	-0.459231
-0.568379	0.919823	-0.273261	-0.479057
-0.478750	0.968812	-0.476140	-0.524521
-0.092966	0.968413	-0.322610	-0.558703
0.266807	0.954815	0.143465	-0.669114
0.537263	1.045196	0.466976	-0.855411
0.704301	1.038197	-0.336318	-0.920359
1.120484	0.992607	-0.635154	-0.979495
1.449857	0.942218	-1.358941	-1.020856
1.789259	1.059593	0.376502	-1.104604
2.044046	1.150773	1.780210	-1.110416
2.133989	0.944018	0.976916	-1.057774
2.149659	0.785052	0.817903	-0.949756
1.980428	0.498915	0.280546	-0.873528
1.632877	0.274764	0.469717	-0.878997
1.434501	0.046413	0.869993	-0.883099
1.362735	-0.209931	1.835042	-0.997270
1.068461	-0.461076	1.157863	-1.198949
0.728118	-0.585249	0.996108	-1.372598
0.521280	-0.616242	1.092064	-1.506937
0.364898	-0.727418	0.661630	-1.658026
0.345782	-0.665832	0.982400	-1.810140
0.147719	-0.596447	1.149638	-1.951315
0.002305	-0.542658	1.585555	-2.011477
-0.079490	-0.637838	0.573899	-2.067195
-0.155017	-0.693825	0.477942	-2.078134
-0.089205	-0.715421	0.502617	-2.064119
-0.084817	-0.814799	0.634214	-2.037114
0.154927	-0.915777	1.053681	-1.974559
0.298460	-0.962967	1.089323	-1.839537
0.479913	-1.045549	1.105772	-1.720922
0.570169	-1.143327	0.063958	-1.613588
0.706181	-1.182919	0.159915	-1.411225
1.090398	-1.054947	0.716463	-1.253642
1.305384	-0.909978	0.316187	-1.165108
1.390000	-0.795203	0.066700	-1.104946
1.539173	-0.497868	0.217489	-1.081360
1.656695	-0.344901	-0.023774	-1.005132
1.786752	-0.168540	-0.594030	-0.899165
1.730342	0.101201	0.450526	-0.903951
1.549829	0.352147	0.850802	-0.924461
1.381538	0.462123	-0.522748	-0.892329
1.123931	0.519110	-0.939474	-0.830458
1.049971	0.714068	-0.396634	-0.822254
0.740340	0.870634	0.346345	-0.859513
0.352049	0.952216	0.247646	-0.867717
0.111679	1.135976	0.220230	-0.885834
-0.178521	1.292142	0.606798	-0.920700
-0.622909	1.509495	0.521808	-0.837978
-1.009320	1.716250	0.310703	-0.717654
-1.201742	1.934402	0.905634	-0.593570
-1.371600	2.155354	0.697271	-0.467777
-1.556814	2.327517	0.779520	-0.389156
-1.618238	2.477284	0.738396	-0.291735
-1.702227	2.395902	-1.161544	-0.176197
-1.540517	2.417497	-0.015549	-0.090740
-1.423309	2.306921	0.658889	-0.105438
-1.433338	2.180349	-0.163596	-0.168677
-1.216785	2.104765	0.905634	-0.193972
-1.087041	1.962396	1.234628	-0.152952
-1.031258	1.763639	0.499875	-0.139621
-1.009634	1.598275	0.033800	-0.145432
-0.803109	1.523092	0.403918	-0.237726
-0.731029	1.304939	0.096857	-0.366937
-0.497553	1.130377	-0.073123	-0.493756
-0.288208	1.123979	0.582124	-0.651339
-0.182282	1.000206	0.625989	-0.799693
-0.187610	0.667478	-0.374701	-0.865666
-0.187296	0.460923	-0.544681	-0.881732
-0.025587	0.418732	0.905634	-0.964455
-0.098607	0.239171	1.138672	-0.984622
-0.281627	-0.101354	0.527291	-0.993510
-0.600032	-0.377094	-0.517265	-1.042050
-0.704077	-0.554056	0.190072	-1.071789
-0.805303	-0.599246	1.393642	-1.068712
-1.118067	-0.829396	-0.116989	-1.048886
-1.460289	-1.078542	-1.224602	-1.004790
-1.616358	-1.080341	-0.816101	-0.984622
-1.671201	-0.883184	0.587607	-0.923777
-1.871145	-0.855590	0.922084	-0.845498
-2.002769	-0.943571	0.209264	-0.815417
-1.920974	-0.820198	0.283287	-0.772347
-1.844820	-0.592847	1.163346	-0.777816
-1.775247	-0.497868	1.149638	-0.782602
-1.675275	-0.521663	0.222972	-0.769954
-1.392284	-0.440881	-0.229395	-0.747051
-1.044106	-0.336703	0.233938	-0.697144
-0.742625	-0.175338	1.311393	-0.645186
-0.675246	-0.224528	0.582124	-0.546398
-0.571513	-0.233926	-0.445983	-0.397018
-0.101427	-0.058564	0.296995	-0.235333
0.080340	0.176185	1.283977	-0.065444
0.023929	0.271364	0.801453	0.117776
-0.074162	0.308756	-0.810618	0.327317
0.210397	0.589695	0.436818	0.503017
0.310995	0.919423	2.161294	0.663677
0.069684	1.083187	1.259303	0.798358
0.034271	1.253550	1.643129	0.889284
-0.135273	1.356328	1.837784	0.941242
-0.360915	1.372924	1.190762	0.921758
-0.652681	1.433511	0.976916	0.830831
-0.814078	1.500497	1.941965	0.678034
-0.898380	1.575080	1.719894	0.566598
-1.213024	1.473103	0.102341	0.435677
-1.424876	1.482101	-0.229395	0.234340
-1.665874	1.463105	-0.435016	-0.026134
-1.796244	1.514094	1.209954	-0.293444
-1.905931	1.432911	0.480684	-0.511189
-2.245333	1.281144	-1.786633	-0.683471
-2.180148	1.367326	-0.276002	-0.737480
-1.915960	1.380723	1.094806	-0.803453
-1.768666	1.278145	-0.509040	-0.857120
-1.805646	1.095785	-1.230085	-0.846865
-1.634848	0.935020	-0.311643	-0.830116
-1.312369	0.807448	-0.728369	-0.753204
-1.045360	0.644483	-0.292452	-0.694410
-0.790573	0.469721	0.091374	-0.679711
-0.612567	0.354546	0.118790	-0.605876
-0.395701	0.136794	0.700013	-0.473930
-0.246840	-0.060563	0.689047	-0.402829
-0.081683	-0.235725	0.642439	-0.330020
-0.046897	-0.382093	1.319618	-0.237726
-0.142481	-0.517064	1.388159	-0.180299
-0.219889	-0.661632	0.590348	-0.056557
-0.290715	-0.833595	0.316187	0.028217
-0.418892	-0.864388	0.604056	-0.043567
-0.695616	-0.936173	1.056423	-0.192263
-0.990830	-1.075342	0.656147	-0.346770
-0.992084	-1.065944	0.897409	-0.405906
-1.058209	-1.068544	1.149638	-0.440431
-1.201742	-1.043749	1.275752	-0.475297
-1.336813	-1.042150	1.396384	-0.469828
-1.450574	-1.008557	0.848060	-0.419237
-1.462170	-0.971965	1.146896	-0.299939
-1.572483	-0.921176	1.204470	-0.222686
-1.739521	-0.850391	0.209264	-0.167993
-1.899663	-0.665432	-0.081348	-0.064761
-1.835732	-0.538859	-0.045707	0.016595
-1.616985	-0.419685	0.795970	-0.001522
-1.663367	-0.343102	0.636956	-0.047327
-1.717897	-0.194334	-0.377442	-0.011777
-1.467811	0.022818	0.324412	0.007024
-1.615104	-0.034169	-1.715351	-0.031603
-1.434591	0.235172	-1.290400	-0.126290
-1.035645	0.699471	1.278494	-0.256527
-0.990830	0.850038	0.601315	-0.275669
-0.961058	0.927022	-1.008014	-0.293102
-0.972653	1.052394	-1.644069	-0.286608
-0.743565	1.341331	0.173623	-0.231573
-0.788066	1.481501	-0.095056	-0.140305
-0.735730	1.555685	0.368277	-0.069888
-0.640459	1.690055	1.752794	-0.042883
-0.892112	1.662861	1.314135	-0.029210
-1.166956	1.705052	0.678080	-0.026818
-1.290432	1.610873	-0.445983	-0.043225
-1.245617	1.669860	0.826127	-0.178590
-1.510118	1.700253	0.634214	-0.273276
-1.735446	1.601675	-0.360993	-0.355315
-1.714763	1.565282	0.305220	-0.401462
-1.972683	1.471303	-0.473399	-0.445900
-2.195504	1.427513	-0.363734	-0.562464
-2.334336	1.346130	-0.827067	-0.718338
-2.334336	1.335732	-0.306160	-0.860539
-2.157897	1.339532	0.795970	-1.030769
-2.274479	1.189564	-0.048448	-1.170577
-2.350632	1.032598	-0.270519	-1.300131
-2.287954	0.882431	-1.320558	-1.402338
-1.815988	0.790251	0.445043	-1.423873
