# Vib_X	Vib_Y	Vib_Z	Sound
-0.038179	-0.924714	-0.917704	-0.378761
0.403263	-0.391759	0.058825	-0.291483
0.304176	-0.291099	-0.060402	-0.328933
0.171862	-0.217402	-0.017821	-0.351784
0.047855	-0.032261	0.021922	-0.321633
0.194409	0.160070	-0.108661	-0.267997
0.368850	0.187931	-0.057563	-0.196271
0.133889	-0.070458	-0.378342	-0.162629
0.337996	0.015373	1.080774	-0.198810
0.504723	0.174900	0.879223	-0.147713
0.572957	0.351952	0.155343	-0.131210
0.120242	-0.071806	-0.892155	-0.112802
-0.051825	-0.092926	-0.418084	-0.062657
-0.210839	0.059860	0.720253	-0.020764
-0.418507	0.017170	-0.298857	0.050963
-0.191853	0.327686	0.779867	0.071275
-0.394180	0.226577	0.689027	0.004626
-0.671861	0.387003	0.637930	-0.126449
-0.568027	0.482270	0.382443	-0.179133
-0.150319	0.651684	0.405153	-0.256889
0.052602	0.654380	2.062981	-0.305447
-0.357393	0.302072	0.266054	-0.421606
-0.099292	0.303870	-0.409568	-0.469212
0.244842	0.294433	-0.080273	-0.513009
0.333249	-0.042596	0.087213	-0.614886
0.208056	-0.327049	0.302958	-0.728506
0.115495	-0.509944	0.073019	-0.757387
0.381310	-0.509045	0.027599	-0.755482
0.331469	-0.692389	-0.687765	-0.747548
0.376563	-0.624533	0.152504	-0.677409
-0.067252	-0.733282	-1.553583	-0.620916
-0.020379	-0.731484	-2.530112	-0.487302
0.227636	-0.392657	-0.960285	-0.497775
0.362323	-0.284359	0.376765	-0.561885
0.165929	-0.387265	-0.673571	-0.570454
-0.171679	-0.730136	-3.072312	-0.577119
0.350456	-0.365695	-0.548666	-0.604413
0.575924	-0.424563	0.830965	-0.522213
0.282223	-0.754402	-0.230727	-0.464451
0.223482	-0.963809	-1.107900	-0.426367
0.653651	-0.888315	-0.528795	-0.384791
0.886238	-1.004253	-0.088789	-0.409546
0.619831	-1.219952	-0.435117	-0.461278
0.369443	-1.219053	-0.730346	-0.447313
0.660771	-1.036158	-0.296018	-0.362575
0.698744	-0.884271	0.368249	-0.226104
0.385463	-1.070760	-0.565699	-0.146126
0.464377	-0.634420	1.532135	-0.170564
0.408010	-0.618692	0.953031	-0.168660
0.313076	-0.618692	-0.650861	-0.197858
0.231196	-0.306378	0.407991	-0.192780
-0.066065	-0.128427	1.222712	-0.194684
0.071588	-0.017432	0.728770	-0.126766
0.110749	-0.184149	-0.514601	-0.062340
-0.050045	-0.450626	-0.100144	-0.008704
0.110155	-0.185047	0.748641	0.001452
0.533797	0.223881	2.290081	0.129989
0.349863	-0.070907	0.785545	0.304544
0.049635	-0.442987	-1.283902	0.415307
0.302989	-0.185946	0.413669	0.521944
0.691624	0.308813	3.365966	0.646355
0.554564	0.099855	2.338339	0.822814
0.097695	-0.447031	-0.957446	0.895175
0.221109	-0.245263	-0.372664	0.951350
0.171862	0.248147	1.603104	0.957063
