# Vib_X	Vib_Y	Vib_Z	Sound
0.493214	-1.052848	1.015165	1.160361
0.178463	-1.238155	-0.291498	1.143205
0.090588	-1.289816	-0.895764	1.091457
0.212485	-1.242956	0.147500	1.061364
0.334747	-1.120426	0.529685	1.071208
0.245234	-1.040311	-0.580719	1.073879
0.339841	-0.899819	-0.273421	1.070786
0.451186	-0.777734	0.418645	1.068255
0.658230	-0.620881	1.319880	1.067411
0.541245	-0.570998	-0.128810	1.033240
0.441544	-0.551703	-1.709200	0.986555
0.441907	-0.548768	-0.327650	0.915963
0.286715	-0.671832	-1.347673	0.878418
0.080945	-0.745634	-0.353474	0.821889
-0.081343	-0.829840	-0.263092	0.758188
-0.274923	-0.944279	-0.681430	0.688159
-0.401006	-0.987315	0.018383	0.669878
-0.585853	-1.008389	-0.702089	0.647661
-0.654989	-0.928006	-0.418032	0.673675
-0.757966	-0.819170	-0.549731	0.687737
-0.656081	-0.747413	0.209476	0.705455
-0.649349	-0.722515	-0.660772	0.728939
-0.734496	-0.761729	-1.066198	0.713752
-0.563111	-0.791694	-0.407703	0.713752
-0.294209	-0.868075	-0.645278	0.690268
0.140074	-0.870120	0.731108	0.642317
0.225039	-0.927206	0.039042	0.561461
0.499763	-0.854826	-0.043593	0.481870
0.662597	-0.743411	0.560673	0.393279
0.737009	-0.695217	-0.903511	0.370639
0.775216	-0.549569	-0.629784	0.324657
0.786132	-0.329495	0.201729	0.279799
0.743741	-0.133874	0.297275	0.240566
0.665872	-0.101774	-1.249544	0.230441
0.499763	-0.126849	-1.554260	0.226785
0.400426	-0.095283	0.217223	0.212301
0.257787	-0.180023	-0.405120	0.177428
0.143167	-0.324160	-0.606543	0.153382
0.148443	-0.409255	0.077777	0.148319
0.038372	-0.469720	-0.348309	0.148601
0.088404	-0.401163	-0.087493	0.158866
0.072940	-0.377600	0.085524	0.159006
0.170094	-0.268941	0.077777	0.235082
0.156267	-0.082746	0.039042	0.322969
0.284714	0.160802	0.119094	0.393139
0.425897	0.343263	0.346340	0.462886
0.490667	0.431471	-1.275368	0.575382
0.447184	0.556579	-1.125592	0.644708
0.470108	0.628337	0.098435	0.690550
0.465559	0.598727	0.111347	0.706158
0.387326	0.427736	-0.456767	0.749610
0.224493	0.208374	-1.223721	0.777312
0.046741	0.111541	0.002889	0.764234
-0.089530	0.044675	0.346340	0.759313
-0.266009	-0.010900	-1.037793	0.770703
-0.363163	0.094825	-1.378661	0.807827
-0.548193	0.244386	-0.696924	0.855497
-0.578758	0.453878	0.284363	0.913854
-0.701019	0.605840	-0.185622	0.970102
-0.819460	0.714499	-1.259874	1.038443
-0.889142	0.781188	-0.549731	1.054755
-0.802358	0.809553	-0.017770	1.070364
-0.627517	0.737618	0.051953	1.063474
-0.489063	0.465082	-1.642059	1.060661
-0.344969	0.216910	-2.197262	1.004694
-0.028581	0.075618	-0.949993	0.962368
0.187560	-0.053669	-0.792471	0.912870
0.339295	-0.135208	-1.587830	0.860840
0.289990	-0.140098	-3.157891	0.817811
0.439906	0.081843	-0.224357	0.758891
0.461921	0.333660	0.653638	0.694206
0.263246	0.476641	-0.862194	0.598303
0.242687	0.659280	-0.332815	0.490307
-0.101538	0.743219	-1.197898	0.331125
-0.256912	0.834094	0.054536	0.182349
-0.596952	0.719656	-0.686595	0.044964
-0.787257	0.514254	-1.045540	-0.068798
-1.033964	0.300849	-0.456767	-0.163576
-1.279396	0.102205	-2.514889	-0.206043
-1.346167	0.089579	-1.549095	-0.236698
-1.317239	0.097670	-1.567172	-0.227839
-1.265205	0.172895	-1.538766	-0.239229
-1.235186	0.366738	-1.688542	-0.260744
-1.012677	0.667283	-2.411596	-0.281415
-0.729947	1.015577	-1.283115	-0.296743
-0.556016	1.343243	-1.933864	-0.334991
-0.484151	1.693226	-1.737606	-0.408395
-0.377718	1.927705	-1.290862	-0.500782
-0.421201	1.977232	-1.399320	-0.631418
-0.614599	1.909743	-0.903511	-0.741383
-0.977563	1.713678	-0.624619	-0.870331
-1.288311	1.528993	-1.151416	-0.944719
-1.631808	1.365028	-1.071363	-0.967921
-1.897618	1.243298	-1.275368	-0.955406
-2.291875	1.170207	-1.812494	-0.927282
-2.533123	1.262238	-0.823459	-0.889455
-2.647015	1.410020	-0.330233	-0.867941
-2.533487	1.601373	0.028712	-0.856972
-2.346274	1.749867	-0.214027	-0.907033
-2.179983	1.751023	-0.498084	-0.974671
-1.825025	1.786324	-0.503249	-1.065090
-1.350716	1.750757	-0.598796	-1.134696
-0.847115	1.626004	0.240464	-1.195585
-0.520356	1.385390	-0.002276	-1.251833
-0.132103	1.151000	-0.676266	-1.269832
0.260880	0.981699	-0.004858	-1.316518
0.527782	0.825736	-0.712418	-1.330580
0.607652	0.773719	-1.378661	-1.348579
0.782493	0.870640	-1.092022	-1.336486
0.772851	1.040563	-0.815712	-1.320174
0.703896	1.221957	-0.743406	-1.297816
0.495943	1.401129	-0.609125	-1.314831
0.324922	1.594882	0.274034	-1.316518
-0.000199	1.678199	-0.784724	-1.301894
-0.166671	1.735374	0.410898	-1.277285
-0.387178	1.636763	0.687208	-1.271942
-0.806179	1.353646	-0.474843	-1.278973
-0.922436	1.076753	-0.312156	-1.284035
-1.021774	0.806085	-0.707254	-1.280660
-1.018681	0.586367	1.464491	-1.267723
-1.223906	0.307963	0.346340	-1.277988
-1.212808	0.172451	-0.694342	-1.282207
-1.076173	0.168983	0.638144	-1.289519
-1.027596	0.189256	-0.162381	-1.281222
-1.120929	0.241007	-0.206280	-1.326221
-1.186063	0.324590	-0.694342	-1.362782
-1.220085	0.473618	-0.761483	-1.422967
-1.273938	0.554445	0.082941	-1.477668
-1.465154	0.467661	-0.071999	-1.546291
-1.594511	0.310452	-0.544567	-1.584821
-1.767351	0.118032	-1.419978	-1.601555
-1.797370	-0.057226	-0.208863	-1.580180
-1.710223	-0.328962	0.692373	-1.523932
-1.748975	-0.612968	-1.197898	-1.477668
-1.655642	-0.761284	-1.611071	-1.384437
-1.534108	-0.829218	-0.459349	-1.268426
-1.297590	-0.824950	0.299857	-1.132587
-1.212626	-0.843800	-0.110734	-1.034294
-1.013769	-0.753548	-0.234686	-0.934876
-0.808180	-0.627995	-0.071999	-0.850504
-0.612052	-0.502353	0.286946	-0.755867
-0.540005	-0.447046	0.144917	-0.690900
-0.349881	-0.437531	-0.420614	-0.670651
-0.267282	-0.471943	-0.392209	-0.690619
-0.326412	-0.554548	-0.314739	-0.748695
-0.435574	-0.606743	0.015800	-0.836582
-0.627335	-0.662851	0.614903	-0.891705
-0.835471	-0.692639	1.152029	-0.922079
-1.255745	-0.732830	-0.828623	-0.935298
-1.625076	-0.677167	-1.962269	-0.960047
-1.889067	-0.489460	0.036459	-0.980858
-2.135045	-0.281301	1.655584	-0.990280
-2.569692	-0.192560	0.054536	-1.023466
-2.949758	-0.132185	-1.528437	-1.013342
-3.211565	-0.038731	-0.185622	-0.996045
-3.366393	-0.031618	-0.436108	-0.926157
-3.474828	-0.053136	-0.423197	-0.849098
