# Vib_X	Vib_Y	Vib_Z	Sound
0.674004	0.264086	0.573753	1.955463
0.272065	-0.036250	0.145000	1.943961
0.155936	0.304684	0.561432	2.023078
0.644690	0.501218	0.319951	2.039110
0.960942	0.283001	0.866980	2.115439
0.378046	-0.015028	-0.535090	2.096618
-0.339582	-0.022410	-1.289103	2.111256
0.285594	0.572726	0.024260	2.096967
0.470497	0.378500	-0.569587	1.989967
0.228657	0.199498	0.014403	1.739025
-0.523921	-0.000265	-1.131401	1.440683
-0.456274	0.368811	-0.924417	1.219714
0.120985	0.347128	-0.064448	0.952391
-0.140022	-0.128519	-0.409421	0.765230
-0.556054	-0.130365	0.036580	0.507317
-0.639486	0.164897	-0.710041	0.452249
-0.016565	0.312989	-0.076768	0.446324
0.055593	-0.037634	-0.643510	0.427851
-0.052080	-0.003956	-1.335921	0.347689
-0.263478	0.359585	-0.781499	0.463750
0.527998	0.769260	-0.490736	0.606299
0.876382	0.448624	-0.926881	0.840861
0.836358	0.316218	-0.751930	0.917189
0.624395	0.592103	0.278061	0.922068
0.981236	0.869372	0.019332	0.961104
1.608667	0.545968	0.756096	0.856545
1.180796	-0.072235	0.159785	0.656139
0.500939	-0.243856	-0.682936	0.567961
0.750107	0.168587	0.088326	0.603511
1.455333	0.438013	0.714206	0.493724
1.338641	0.341131	0.477653	0.512545
0.821701	0.237328	-0.315785	0.513939
0.726430	0.670070	0.273133	0.470721
1.304253	0.919658	0.775809	0.441096
1.188125	0.356355	0.206603	0.547398
0.663293	0.074473	-0.397101	0.495815
0.369590	0.468001	-0.052127	0.532759
0.757999	0.725893	0.462869	0.509756
0.989692	0.361430	0.943367	0.589570
0.457532	-0.006724	0.300238	0.761744
-0.323797	-0.243856	0.273133	0.898717
-0.042496	0.157515	1.204561	1.035341
-0.003599	-0.094380	0.682173	1.086575
-0.144531	-0.264616	0.741311	1.132930
-0.699241	-0.151125	-0.214758	1.193226
-0.544215	0.397876	0.019332	1.380387
0.067431	0.592564	0.233708	1.485295
-0.201468	0.080470	-0.436526	1.586020
-0.056590	0.384959	1.243987	1.641785
-0.187938	0.660843	1.076428	1.836962
0.247261	0.641928	1.024682	1.863799
0.326183	0.139061	0.551576	1.939430
0.243878	-0.050552	0.699422	2.029700
0.065740	0.144597	1.726949	2.186190
0.180740	0.135370	0.248492	2.433996
0.410178	-0.139592	0.270669	2.682498
0.099563	-0.363344	-0.167940	2.994434
-0.246566	-0.220327	-0.507985	3.291731
0.035298	0.243325	-0.069376	3.467390
0.168902	0.056480	-0.848030	3.536400
0.156500	-0.016412	-0.342890	3.571601
-0.040805	0.404796	0.625499	3.410231
0.077578	0.740656	0.699422	3.386531
0.425399	0.362814	-0.212293	3.350632
0.478390	-0.084230	0.117895	3.356558
0.496429	-0.066699	1.288340	3.214357
0.020641	-0.070390	0.282990	2.996176
0.531944	0.058326	0.554040	2.834807
0.771529	-0.286761	0.948295	2.714912
0.367899	-0.540501	0.004547	2.493595
0.030225	-0.329205	1.012362	2.285173
0.133951	-0.071312	0.938439	2.151686
0.126622	-0.266462	0.152393	2.018547
-0.089286	-0.288145	0.462869	1.801412
-0.888654	-0.478681	-0.645974	1.495053
-0.759560	-0.157584	-0.517841	1.335426
-0.193012	-0.160352	0.519543	1.058344
-0.306885	-0.619853	0.297774	0.861076
-0.696422	-0.649840	-0.010238	0.810190
-0.904438	-0.397023	-0.914560	0.791369
-0.018256	-0.046400	0.132680	0.765927
0.107456	-0.496673	0.800450	0.829708
0.023460	-0.559878	1.455899	0.771503
0.049392	-0.396100	2.032497	0.734907
0.489100	-0.192185	1.746662	0.691341
0.772093	-0.416399	2.209912	0.589221
0.412997	-0.854678	1.037003	0.482919
0.233731	-0.552035	1.815657	0.447718
0.397776	-0.197721	1.988143	0.532062
0.880892	0.005271	2.885074	0.675657
0.742779	-0.307060	1.490396	0.842255
-0.192448	-0.619853	-1.153578	0.872577
0.035298	-0.139130	-0.121122	0.891049
0.444566	-0.205564	-0.148227	0.839815
0.326746	-0.437621	0.401266	0.814721
-0.302939	-0.696897	-0.909632	0.715041
-0.333381	-0.336125	-0.953986	0.712601
0.201035	-0.051013	-0.475952	0.765927
0.211746	-0.362883	0.181962	0.772549
-0.258405	-0.581561	-0.155619	0.679142
-0.706569	-0.583406	-1.429556	0.699357
-0.123673	-0.295065	-0.830781	0.648820
-0.152424	-0.622159	-0.569587	0.473858
-0.450073	-0.649379	0.073542	0.381497
-1.156425	-0.641997	-1.175755	0.207928
-0.945027	-0.123906	-0.616405	0.031920
-0.714462	-0.209255	-0.227078	-0.170576
-0.818752	-0.383644	0.100647	-0.321142
-1.260152	-0.402559	0.243564	-0.384226
-1.362187	-0.365190	-0.177796	-0.386317
-0.544779	-0.226325	0.990185	-0.396773
-0.317596	-0.713506	0.662460	-0.300927
-0.786055	-1.001386	0.039044	-0.290122
-1.061719	-1.100575	-0.436526	-0.154544
-0.098306	-0.754104	0.839875	0.048650
0.056720	-1.087196	1.024682	0.239296
-0.184556	-1.283268	0.669853	0.322247
-0.213870	-0.885127	1.791016	0.408682
-0.149605	-0.768406	0.977864	0.462705
0.089416	-1.030450	0.849732	0.532062
-0.013746	-1.140712	0.642748	0.656488
-0.691349	-1.020762	0.292846	0.694129
-0.492352	-0.665526	0.926118	0.778125
-0.221199	-0.812695	0.231244	0.725846
-0.182865	-0.936336	0.775809	0.709465
-0.588186	-0.907732	1.187312	0.580857
-0.924169	-0.820999	1.078892	0.634182
-0.853703	-0.934952	-0.687864	0.830753
-0.804658	-1.353392	-1.402451	1.079605
-0.908385	-0.983855	0.699422	1.191483
-1.341892	-0.713967	0.413587	1.404087
-1.164318	-0.725962	-0.436526	1.615645
-1.199833	-1.098730	-0.751930	1.617388
-0.946154	-0.820538	1.224274	1.628541
-1.481134	-0.743955	1.113390	1.547682
-1.592188	-0.621698	0.467797	1.422907
-1.314833	-0.685364	1.054251	1.154190
-1.356549	-1.150862	0.563896	0.909521
-1.536379	-0.952483	1.024682	0.764532
-1.714518	-0.884204	0.618107	0.711904
-1.414613	-0.981548	0.337200	0.537290
-1.125420	-1.061361	0.063685	0.457128
-1.128803	-0.902196	1.029610	0.283560
-1.266916	-0.877745	0.980329	0.211414
-0.866669	-0.974166	0.068613	0.207580
-0.523357	-1.206223	-0.128514	0.212111
-0.464166	-1.310487	-0.148227	0.288439
-0.435979	-1.174390	0.815234	0.303077
-0.105070	-1.167931	0.105575	0.287394
0.261918	-1.408293	-0.081696	0.200261
